date,product,region,channel,units_sold,revenue,cost
2026-01-01,Analytics Pack,East,Partner,25,4017.12,1967.37
2026-01-01,Insight Assistant,East,Online,19,3509.41,1948.83
2026-01-01,Monitoring Suite,East,Online,27,3464.04,1816.65
2026-01-01,Reporting Add-on,East,Online,14,1354.58,748.55
2026-01-01,Analytics Pack,North,Partner,28,4400.87,2164.48
2026-01-01,Insight Assistant,North,Online,17,2984.31,1762.2
2026-01-01,Monitoring Suite,North,Partner,29,3706.61,1959.01
2026-01-01,Reporting Add-on,North,Partner,16,1544.27,839.6
2026-01-01,Analytics Pack,South,Partner,21,3340.78,1656.93
2026-01-01,Insight Assistant,South,Online,17,2998.91,1744.06
2026-01-01,Monitoring Suite,South,Online,22,2760.55,1440.52
2026-01-01,Reporting Add-on,South,Online,14,1415.45,720.6
2026-01-02,Analytics Pack,East,Online,23,3428.57,1765.52
2026-01-02,Insight Assistant,East,Online,19,3246.88,1867.89
2026-01-02,Monitoring Suite,East,Online,32,3896.1,2163.13
2026-01-02,Reporting Add-on,East,Direct,13,1221.55,669.55
2026-01-02,Analytics Pack,North,Partner,25,3893.92,2003.94
2026-01-02,Insight Assistant,North,Partner,21,3726.77,2142.67
2026-01-02,Monitoring Suite,North,Online,27,3404.27,1810.12
2026-01-02,Reporting Add-on,North,Online,15,1431.09,793.46
2026-01-02,Analytics Pack,South,Partner,24,3681.08,1874.08
2026-01-02,Insight Assistant,South,Online,17,3121.08,1729.73
2026-01-02,Monitoring Suite,South,Partner,28,3450.61,1818.48
2026-01-02,Reporting Add-on,South,Partner,15,1451.74,773.97
2026-01-03,Analytics Pack,East,Online,20,3248.97,1570.55
2026-01-03,Insight Assistant,East,Direct,14,2358.82,1437.56
2026-01-03,Monitoring Suite,East,Online,25,3035.94,1636.01
2026-01-03,Reporting Add-on,East,Online,13,1220.56,652.73
2026-01-03,Analytics Pack,North,Partner,19,2983.38,1509.92
2026-01-03,Insight Assistant,North,Partner,18,3097.04,1789.38
2026-01-03,Monitoring Suite,North,Online,22,2782.98,1419.13
2026-01-03,Reporting Add-on,North,Online,13,1243.15,698.97
2026-01-03,Analytics Pack,South,Online,16,2485.37,1247.27
2026-01-03,Insight Assistant,South,Partner,17,3243.3,1860.32
2026-01-03,Monitoring Suite,South,Online,24,2967.94,1613.21
2026-01-03,Reporting Add-on,South,Online,12,1190.04,605.46
2026-01-04,Analytics Pack,East,Direct,17,2708.64,1355.92
2026-01-04,Insight Assistant,East,Online,19,3596.85,1929.3
2026-01-04,Monitoring Suite,East,Online,24,2995.16,1654.01
2026-01-04,Reporting Add-on,East,Partner,16,1514.59,837.95
2026-01-04,Analytics Pack,North,Partner,24,3664.28,1839.83
2026-01-04,Insight Assistant,North,Online,16,2844.5,1677.14
2026-01-04,Monitoring Suite,North,Online,23,2822.21,1512.66
2026-01-04,Reporting Add-on,North,Partner,15,1397.01,788.7
2026-01-04,Analytics Pack,South,Online,17,2803.26,1315.42
2026-01-04,Insight Assistant,South,Online,16,2895.83,1582.04
2026-01-04,Monitoring Suite,South,Direct,20,2488.1,1285.82
2026-01-04,Reporting Add-on,South,Online,11,1004.94,574.47
2026-01-05,Analytics Pack,East,Online,14,2148.67,1133.73
2026-01-05,Insight Assistant,East,Online,11,1916.89,1107.15
2026-01-05,Monitoring Suite,East,Online,20,2506.79,1341.25
2026-01-05,Reporting Add-on,East,Online,10,1021.75,544.4
2026-01-05,Analytics Pack,North,Online,14,2115.11,1072.3
2026-01-05,Insight Assistant,North,Direct,10,1720.97,1004.94
2026-01-05,Monitoring Suite,North,Online,19,2296.12,1225.95
2026-01-05,Reporting Add-on,North,Partner,12,1134.72,613.14
2026-01-05,Analytics Pack,South,Online,12,1911.11,916.56
2026-01-05,Insight Assistant,South,Online,11,1936.69,1103.65
